kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;type;laadvermogen;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;aanhangwagen_autonoom_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt
5XLB03;Personenauto;OPEL;AGILA;20221223;20211208;4662;stationwagen;5;GRIJS;Niet geregistreerd;4;1242;1015;1485;1115;200;200;20140905;20140905;Geen verstrekking in Open Data;17184;Ja;4;4;0;0;374;0;M1;op r. schroefveerkoker onder motorkap;1485;e4*2001/116*0135*14;AF11;1A03A1ABCA5;0;0.06;236;Nee;Nee;Nee;1685;0;2021;Logisch;00;Ja;2022-12-23T00:00:00.000;2021-12-08T00:00:00.000;2014-09-05T00:00:00.000;2014-09-05T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;H-B;;;0;;;;;;;;;;;
93ZGFZ;Personenauto;OPEL;ASTRA STATION WAGON;20221223;20190707;5088;stationwagen;5;GRIJS;Niet geregistreerd;4;1598;1215;1860;1315;657;1100;20080130;20080130;Geen verstrekking in Open Data;23913;Ja;4;4;0;0;452;0;M1;op bodemplaat by r. voorzitting;1860;e1*2001/116*0293*07;FS11;1A02A5EABN5;0;0.06;270;Nee;Nee;Nee;3000;0;2021;Logisch;00;Ja;2022-12-23T00:00:00.000;2019-07-07T00:00:00.000;2008-01-30T00:00:00.000;2008-01-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
21PHT5;Personenauto;OPEL;ASTRA SPORTS TOURER;20221231;20190406;4551;stationwagen;5;ZWART;Niet geregistreerd;4;1364;1337;2030;1437;710;1200;20110128;20110128;Geen verstrekking in Open Data;25284;Ja;4;4;0;0;470;0;M1;r. voorzitting;2030;e4*2007/46*0204*01;BC11;1A04A8ANFMA5;0;0.07;269;Nee;Nee;Nee;3280;0;2021;Logisch;00;Ja;2022-12-31T00:00:00.000;2019-04-06T00:00:00.000;2011-01-28T00:00:00.000;2011-01-28T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;P-J/SW;;;0;;;;;;;;;;;
60LTF5;Personenauto;OPEL;CORSA-C;20230218;20170110;2814;hatchback;5;ZWART;Niet geregistreerd;4;1199;910;1455;1010;450;950;20030625;20100625;Geen verstrekking in Open Data;;Ja;2;4;0;0;382;0;M1;op bodemplaat by r. voorzitting;1455;e1*98/14*0148*06;BB11;1A02A3CBCA5;0;0.05;249;Nee;Nee;Nee;2360;0;2022;Geen oordeel;05;Ja;2023-02-18T00:00:00.000;2017-01-10T00:00:00.000;2003-06-25T00:00:00.000;2010-06-25T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
PL372K;Personenauto;OPEL;ASTRA SPORTS TOURER;20230218;20190322;3961;stationwagen;5;GRIJS;Niet geregistreerd;4;1399;1212;1885;1312;640;1403;20170725;20170725;Geen verstrekking in Open Data;28020;Ja;5;4;0;0;470;0;M1;in bodemplaat r. v.;1885;e4*2007/46*0996*08;DA0DBAB12;BA2F3KHGA5;0;0.08;266;Nee;Nee;Nee;3265;0;2022;Logisch;00;Ja;2023-02-18T00:00:00.000;2019-03-22T00:00:00.000;2017-07-25T00:00:00.000;2017-07-25T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;B-K;;;0;;;;;;;;;;;
32TFPN;Personenauto;OPEL;MERIVA-A;20230223;20210302;4998;MPV;5;BLAUW;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20060804;20060804;Geen verstrekking in Open Data;;Ja;4;4;0;0;405;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*07;BJ11;1A02A4CGDH5;0;0.06;263;Nee;Nee;Nee;3080;0;2022;Logisch;00;Ja;2023-02-23T00:00:00.000;2021-03-02T00:00:00.000;2006-08-04T00:00:00.000;2006-08-04T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
30LFVK;Personenauto;OPEL;AGILA;20220901;20191022;2215;MPV;4;GRIJS;Niet geregistreerd;4;1199;930;1370;1030;350;650;20030214;20030214;Geen verstrekking in Open Data;;Ja;4;4;0;0;350;0;M1;r. tegen schutbord onder motorkap;1370;e1*98/14*0141*05;AB11;1A04A2BAAA4;0;0.05;236;Nee;Nee;Nee;1990;0;2021;Logisch;00;Ja;2022-09-01T00:00:00.000;2019-10-22T00:00:00.000;2003-02-14T00:00:00.000;2003-02-14T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
89RGKF;Personenauto;OPEL;AGILA;20230123;20201003;2738;MPV;5;BLAUW;Niet geregistreerd;4;1229;955;1450;1055;350;650;20050323;20050323;Geen verstrekking in Open Data;14050;Ja;4;4;0;0;354;0;M1;r. tegen schutbord onder motorkap;1450;e1*98/14*0141*10;AE11;1A06A4DCDA5;0;0.06;236;Nee;Nee;Nee;2127;0;2021;Logisch;00;Ja;2023-01-23T00:00:00.000;2020-10-03T00:00:00.000;2005-03-23T00:00:00.000;2005-03-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
XN041T;Personenauto;OPEL;CORSA;20230219;20200826;1859;MPV;5;ZWART;Niet geregistreerd;3;998;1045;1585;1145;500;500;20090320;20190211;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;;1585;e1*2001/116*0379*09;KA11;1A04A5DADA5;0;0.04;251;Nee;Nee;Nee;2135;0;2022;Geen oordeel;05;Ja;2023-02-19T00:00:00.000;2020-08-26T00:00:00.000;2009-03-20T00:00:00.000;2019-02-11T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;;;;;;;;;;;;
RNDZ54;Personenauto;OPEL;ASTRA STATION WAGON      X1.6SZR;20230129;20020129;3254;stationwagen;;GROEN;Niet geregistreerd;4;1598;1045;1590;1145;550;950;19970417;19970417;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1590;;;;0;0.05;252;Nee;Nee;Nee;2540;;2021;Logisch;00;Ja;2023-01-29T00:00:00.000;2002-01-29T00:00:00.000;1997-04-17T00:00:00.000;1997-04-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
NK038Z;Personenauto;OPEL;ASTRA;20230225;20170222;6136;MPV;5;ZWART;Niet geregistreerd;4;1398;1273;1885;1373;670;850;20140225;20170222;Geen verstrekking in Open Data;25009;Ja;5;4;0;0;442;0;M1;by bodemplaat r. voorzitting;1885;e1*2007/46*0141*20;CADFA12;BA1G5EKXA5;0;0.05;269;Nee;Nee;Nee;2645;0;2022;Geen oordeel;05;Ja;2023-02-25T00:00:00.000;2017-02-22T00:00:00.000;2014-02-25T00:00:00.000;2017-02-22T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;P-J;;;0;;;;;;;;;;;
95RHX3;Personenauto;OPEL;AGILA;20230218;20160128;844;stationwagen;5;ZWART;Niet geregistreerd;4;1242;965;1485;1065;200;200;20110528;20110528;Geen verstrekking in Open Data;12189;Ja;4;4;0;0;374;0;M1;op r. schroefveerkoker onder motorkap;1485;e4*2001/116*0135*08;AF11;3AABA1AABA5;0;0.06;236;Nee;Nee;Nee;1685;0;2022;Logisch;00;Ja;2023-02-18T00:00:00.000;2016-01-28T00:00:00.000;2011-05-28T00:00:00.000;2011-05-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;H-B;;;0;;;;;;;;;;;
49XPJ7;Personenauto;OPEL;ASTRA SPORTS TOURER;20230218;20180929;4871;stationwagen;5;GRIJS;Niet geregistreerd;4;1362;1337;2030;1437;710;1200;20120629;20120629;Geen verstrekking in Open Data;27716;Ja;4;4;0;0;470;0;M1;r. voorzitting;2030;e4*2007/46*0204*06;DADCA11;BA1J1JDWA5;0;0.07;269;Nee;Nee;Nee;3280;0;2022;Logisch;00;Ja;2023-02-18T00:00:00.000;2018-09-29T00:00:00.000;2012-06-29T00:00:00.000;2012-06-29T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;P-J/SW;;;0;;;;;;;;;;;
1VSN33;Bedrijfsauto;OPEL;VIVARO;20221229;20111223;8669;gesloten opbouw;3;N.v.t.;N.v.t.;4;2464;1831;2820;1931;750;;20111223;20111223;Geen verstrekking in Open Data;35229;Ja;0;4;0;0;0;190;N1;r. balk a. vooras;2820;e1*2007/46*0575*04;AJA6;E1ASG3;0;0.06;310;Nee;Nee;Nee;4820;0;2021;Logisch;00;Ja;2022-12-29T00:00:00.000;2011-12-23T00:00:00.000;2011-12-23T00:00:00.000;2011-12-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;F7;989;2000;;2000;0;;;;;;;;;
NH691K;Personenauto;OPEL;ASTRA SPORTS TOURER;20221223;20170131;3444;stationwagen;5;WIT;Niet geregistreerd;4;1598;1293;1930;1393;670;1400;20170131;20170131;Geen verstrekking in Open Data;26239;Ja;5;4;0;0;470;0;M1;in bodemplaat r. v.;1930;e4*2007/46*0996*06;DA0FDBB12;BA2G2FBBA5;0;0.06;266;Nee;Nee;Nee;3330;0;2021;Logisch;00;Ja;2022-12-23T00:00:00.000;2017-01-31T00:00:00.000;2017-01-31T00:00:00.000;2017-01-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;B-K;;;0;;;;;;;;;;;
35RZTX;Personenauto;OPEL;ASTRA;20221229;20190615;5062;hatchback;5;GRIJS;Niet geregistreerd;4;1364;1130;1725;1230;615;1000;20051027;20051027;Geen verstrekking in Open Data;22489;Ja;4;4;0;0;425;0;M1;op bodemplaat by r. voorzitting;1725;e1*2001/116*0261*05;BA11;1A01A2BAEG5;0;0.05;261;Nee;Nee;Nee;2770;0;2021;Logisch;00;Ja;2022-12-29T00:00:00.000;2019-06-15T00:00:00.000;2005-10-27T00:00:00.000;2005-10-27T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
63KLH5;Personenauto;OPEL;CORSA;20230102;20210520;2570;MPV;5;WIT;Niet geregistreerd;4;1364;1040;1585;1140;500;1000;20100102;20100102;Geen verstrekking in Open Data;;Ja;2;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1585;e1*2001/116*0379*10;FC11;1A03A5KBCC5;0;0.06;251;Nee;Nee;Nee;2590;0;2021;Logisch;00;Ja;2023-01-02T00:00:00.000;2021-05-20T00:00:00.000;2010-01-02T00:00:00.000;2010-01-02T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
60GTF2;Personenauto;OPEL;CORSA;20221228;20201230;2669;MPV;5;BLAUW;Niet geregistreerd;4;1229;1059;1605;1159;500;850;20080829;20080829;Geen verstrekking in Open Data;16263;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1605;e1*2001/116*0379*07;KB11;1A16A77BDA5;0;0.05;251;Nee;Nee;Nee;2455;0;2021;Logisch;00;Ja;2022-12-28T00:00:00.000;2020-12-30T00:00:00.000;2008-08-29T00:00:00.000;2008-08-29T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
SB098L;Personenauto;OPEL;KARL ROCKS / VIVA ROCKS;20240308;20180308;2494;hatchback;5;ZWART;Niet geregistreerd;3;999;839;1353;939;;;20180308;20180308;Geen verstrekking in Open Data;14986;Ja;5;4;0;0;368;0;M1;in motorruimte a.;1353;e4*2007/46*0957*09;EHXXFXX;B11PA5AYKK2B;0;0.06;239;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2024-03-08T00:00:00.000;2018-03-08T00:00:00.000;2018-03-08T00:00:00.000;2018-03-08T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;D-A;;;0;;;;;;;;;;;
04JLDD;Personenauto;OPEL;ASTRA-G-CARAVAN;20230111;20200721;4013;stationwagen;5;GROEN;Niet geregistreerd;4;1598;1145;1740;1245;570;1100;20020523;20020523;Geen verstrekking in Open Data;;Ja;4;4;0;0;429;0;M1;op bodemplaat by r. voorzitting;1740;e1*98/14*0087*11;FS11;2A18AS14FDH5;0;0.06;261;Nee;Nee;Nee;2840;0;2021;Logisch;00;Ja;2023-01-11T00:00:00.000;2020-07-21T00:00:00.000;2002-05-23T00:00:00.000;2002-05-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
93XFH2;Personenauto;OPEL;INSIGNIA LIMOUSINE HB;20230108;20170701;4250;hatchback;5;GRIJS;Niet geregistreerd;4;1364;1403;2065;1503;730;1250;20120531;20120531;Geen verstrekking in Open Data;30513;Ja;4;4;0;0;483;0;M1;r. schutbord;2065;e1*2007/46*0374*06;DP11;4A02F8COJGA5;0;0.07;274;Nee;Nee;Nee;3380;0;2021;Geen oordeel;07;Ja;2023-01-08T00:00:00.000;2017-07-01T00:00:00.000;2012-05-31T00:00:00.000;2012-05-31T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0G-A;;;0;;;;;;;;;;;
42TVJL;Personenauto;OPEL;ASTRA;20230219;20200807;5404;hatchback;5;BLAUW;Niet geregistreerd;4;1598;1170;1765;1270;635;1200;20070219;20070219;Geen verstrekking in Open Data;23744;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1765;e1*2001/116*0261*10;BS11;1A13ALEABN5;0;0.07;261;Nee;Nee;Nee;3020;0;2022;Logisch;00;Ja;2023-02-19T00:00:00.000;2020-08-07T00:00:00.000;2007-02-19T00:00:00.000;2007-02-19T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
46NLG2;Personenauto;OPEL;VIVARO;20230205;20180330;14781;MPV;9;WIT;Niet geregistreerd;4;1995;1887;2890;1987;750;2000;20100930;20100930;Geen verstrekking in Open Data;39446;Ja;0;4;0;0;478;0;M1;tegen deurdorpel by r. voorzitting;2890;e1*98/14*0170*19;CS11;7AASBJ038AG9;0;0.03;310;Nee;Nee;Ja;4810;0;2021;Logisch;00;Ja;2023-02-05T00:00:00.000;2018-03-30T00:00:00.000;2010-09-30T00:00:00.000;2010-09-30T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;X83;;;;;;;;;;;;;;
72XNRL;Personenauto;OPEL;CORSA;20220804;20220331;3087;MPV;5;GRIJS;Niet geregistreerd;4;1229;1060;1605;1160;500;850;20070804;20070804;Geen verstrekking in Open Data;16643;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1605;e1*2001/116*0379*04;PB11;1A05A7JBDC5;0;0.05;251;Nee;Nee;Nee;2455;0;2022;Logisch;00;Ja;2022-08-04T00:00:00.000;2022-03-31T00:00:00.000;2007-08-04T00:00:00.000;2007-08-04T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;0;;;;;;;;;;;
HP768L;Personenauto;OPEL;ASTRA+;20231223;20181023;2047;hatchback;5;GROEN;Niet geregistreerd;3;999;1163;1780;1263;610;1220;20151215;20151215;Geen verstrekking in Open Data;24671;Ja;5;4;0;0;437;0;M1;in bodemplaat r. v.;1780;e4*2007/46*0996*01;CA0ABAB12;BK1E1EANK5;0;0.06;266;Nee;Nee;Nee;3000;0;2021;Logisch;00;Ja;2023-12-23T00:00:00.000;2018-10-23T00:00:00.000;2015-12-15T00:00:00.000;2015-12-15T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;B-K;;;0;;;;;;;;;;;
34RNS7;Personenauto;OPEL;ASTRA;20220615;20220218;4506;MPV;5;GRIJS;Niet geregistreerd;4;1364;1293;1935;1393;680;1400;20110629;20110629;Geen verstrekking in Open Data;27252;Ja;4;4;0;0;0;0;M1;by bodemplaat r. voorzitting;1935;e1*2007/46*0141*06;BC11;1AABAFALFMA5;0;0.07;269;Nee;Nee;Nee;3300;0;2022;Logisch;00;Ja;2022-06-15T00:00:00.000;2022-02-18T00:00:00.000;2011-06-29T00:00:00.000;2011-06-29T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;P-J;;;0;;;;;;;;;;;
58LGP8;Personenauto;OPEL;CORSA;20220326;20220218;1087;hatchback;5;GRIJS;Niet geregistreerd;4;1364;1040;1585;1140;500;1000;20061214;20100416;Geen verstrekking in Open Data;;Ja;2;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1585;e1*2001/116*0379*02;FC11;1A03A5KBCC5;0;0.06;251;Nee;Nee;Nee;2590;0;2022;Geen oordeel;05;Ja;2022-03-26T00:00:00.000;2022-02-18T00:00:00.000;2006-12-14T00:00:00.000;2010-04-16T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
RS879G;Personenauto;OPEL;KARL ROCKS / VIVA ROCKS;20240123;20180123;2494;hatchback;5;ZWART;Niet geregistreerd;3;999;839;1353;939;;;20180123;20180123;Geen verstrekking in Open Data;14986;Ja;5;4;0;0;368;0;M1;in motorruimte a.;1353;e4*2007/46*0957*09;EHXXFXX;B11PA5AYKK2B;0;0.06;239;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2024-01-23T00:00:00.000;2018-01-23T00:00:00.000;2018-01-23T00:00:00.000;2018-01-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;D-A;;;0;;;;;;;;;;;
7VZH83;Bedrijfsauto;OPEL;MOVANO;20230218;20190216;10588;gesloten opbouw;3;N.v.t.;N.v.t.;4;2299;1973;3300;2073;750;;20121009;20121009;Geen verstrekking in Open Data;43754;Ja;0;4;0;0;555;207;N1;r. deurdorpel;3300;e1*2007/46*0362*07;FCDC;51ADE3;0;0.04;368;Nee;Nee;Nee;5800;0;2022;Logisch;00;Ja;2023-02-18T00:00:00.000;2019-02-16T00:00:00.000;2012-10-09T00:00:00.000;2012-10-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;MR;1327;2500;;2500;0;;;;;;;;;
15LSB3;Personenauto;OPEL;ASTRA STATION WAGON;20230121;20211204;5169;stationwagen;5;ZWART;Niet geregistreerd;4;1796;1178;1870;1278;630;1300;20100624;20100624;Geen verstrekking in Open Data;24560;Ja;4;4;0;0;452;0;M1;by bodemplaat r. voorzitting;1870;e1*2007/46*0341*01;FP11;1A11A6FBBN5;0;0.08;270;Nee;Nee;Nee;3210;0;2021;Logisch;00;Ja;2023-01-21T00:00:00.000;2021-12-04T00:00:00.000;2010-06-24T00:00:00.000;2010-06-24T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/SW;;;;;;;;;;;;;;
6VGH00;Bedrijfsauto;OPEL;VIVARO-2 2.5CDTI/107KW-DPF-E4 2.9T L2H1 CREWCAB;20221118;20211218;9300;gesloten opbouw;6;N.v.t.;N.v.t.;4;2464;1855;3035;1955;750;;20100212;20100212;Geen verstrekking in Open Data;38978;Ja;0;4;0;0;0;190;N1;tegen deurdorpel by r. voorzitting;3035;;;;0;0.05;350;Nee;Nee;Nee;5035;;2021;Logisch;00;Ja;2022-11-18T00:00:00.000;2021-12-18T00:00:00.000;2010-02-12T00:00:00.000;2010-02-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;1180;2000;;2000;;;;;;;;;;
