kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;europese_voertuigcategorie;vermogen_massarijklaar;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;subcategorie_nederland;type;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;aantal_wielen;technische_max_massa_voertuig;typegoedkeuringsnummer;wielbasis;lengte_voertuig_minimum;lengte_voertuig_maximum;breedte_voertuig_minimum;breedte_voertuig_maximum;hoogte_voertuig_minimum;hoogte_voertuig_maximum;massa_bedrijfsklaar_minimaal;massa_bedrijfsklaar_maximaal;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
TTL71H;Land- of bosbouwtrekker;JOHN DEERE;7430;20211130;Niet geregistreerd;N.v.t.;N.v.t.;20070630;20211130;Geen verstrekking in Open Data;Nee;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-11-30T00:00:00.000;2007-06-30T00:00:00.000;2021-11-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
THF37V;Land- of bosbouwtrekker;JOHN DEERE;6155R;20210621;Niet geregistreerd;N.v.t.;N.v.t.;20190630;20210621;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-06-21T00:00:00.000;2019-06-30T00:00:00.000;2021-06-21T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
TLH70D;Land- of bosbouwtrekker;JOHN DEERE;5300;20210928;Niet geregistreerd;N.v.t.;N.v.t.;19920630;20210928;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-09-28T00:00:00.000;1992-06-30T00:00:00.000;2021-09-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
TNH89G;Land- of bosbouwtrekker;JOHN DEERE;2030;20220331;Niet geregistreerd;N.v.t.;N.v.t.;19720630;20211014;Geen verstrekking in Open Data;Nee;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2022-03-31T00:00:00.000;1972-06-30T00:00:00.000;2021-10-14T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
TLX20D;Land- of bosbouwtrekker;JOHN DEERE;6430 PREMIUM;20211007;Niet geregistreerd;N.v.t.;N.v.t.;20070630;20211007;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-10-07T00:00:00.000;2007-06-30T00:00:00.000;2021-10-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
TRS51X;Land- of bosbouwtrekker;JOHN DEERE;5125R;20211112;Niet geregistreerd;N.v.t.;N.v.t.;20190630;20211112;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-11-12T00:00:00.000;2019-06-30T00:00:00.000;2021-11-12T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
TTL79D;Land- of bosbouwtrekker;JOHN DEERE;2054;20211130;Niet geregistreerd;N.v.t.;N.v.t.;19930630;20211130;Geen verstrekking in Open Data;Nee;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-11-30T00:00:00.000;1993-06-30T00:00:00.000;2021-11-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
TKH52H;Land- of bosbouwtrekker;JOHN DEERE;5050E;20210902;Niet geregistreerd;N.v.t.;N.v.t.;20200630;20210902;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-09-02T00:00:00.000;2020-06-30T00:00:00.000;2021-09-02T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
THV19X;Land- of bosbouwtrekker;JOHN DEERE;6150R;20211123;Niet geregistreerd;N.v.t.;N.v.t.;20140630;20210715;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-11-23T00:00:00.000;2014-06-30T00:00:00.000;2021-07-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
THS20F;Land- of bosbouwtrekker;JOHN DEERE;2130;20211125;Niet geregistreerd;N.v.t.;N.v.t.;19730630;20210707;Geen verstrekking in Open Data;Ja;T;0;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2021-11-25T00:00:00.000;1973-06-30T00:00:00.000;2021-07-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;
