kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;vermogen_massarijklaar;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;hoogte_voertuig;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;aanhangwagen_middenas_geremd;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;aanhangwagen_autonoom_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;subcategorie_nederland;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
50WXXS;Middenasaanhangwagen;HAPERT;COBALT;20210517;kipper;N.v.t.;N.v.t.;1403;3500;20210517;20210517;Geen verstrekking in Open Data;N.v.t.;130;2097;0;6;542;0;545;206;O2;;3500;0;408;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2021-05-17T00:00:00.000;2021-05-17T00:00:00.000;2021-05-17T00:00:00.000;150;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;MA;e4*2007/46*0140*09;C44F;302;;0;0;;;110;;;;;;;;;;;;;;;;;
N170HD;Personenauto;CITROEN;C3;20211207;hatchback;GRIJS;Niet geregistreerd;955;1540;20211115;20211115;Geen verstrekking in Open Data;Ja;169;;4;4;0;0;400;175;M1;;1540;0;254;Nee;Nee;Nee;1990;Logisch;00;Ja;2021-12-07T00:00:00.000;2021-11-15T00:00:00.000;2021-11-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20251115;3542;5;3;1199;1055;450;450;21659;S;e2*2007/46*0003*65;XHMR;V/AAXS;0.06;0;0;2021;2025-11-15T00:00:00.000;149;B;20211011;2021-10-11T00:00:00.000;;;;;;;;46;;;;;;
WN3944;Aanhangwagen;KPH;K.P. 2000;20060218;voor vervoer voertuigen;N.v.t.;N.v.t.;520;2000;19700123;19700123;Geen verstrekking in Open Data;N.v.t.;100;1480;;2;523;;;198;O2;tegen r. balk 150 cm v. hart asstel;2000;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2006-02-18T00:00:00.000;1970-01-23T00:00:00.000;1970-01-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G491FR;Personenauto;TESLA;MODEL 3;20190923;sedan;BLAUW;Niet geregistreerd;1831;2305;20190923;20190923;Geen verstrekking in Open Data;Ja;261;;4;4;0;0;469;0;M1;;2305;0;288;Nee;Ja;Nee;0;Logisch;00;Ja;2019-09-23T00:00:00.000;2019-09-23T00:00:00.000;2019-09-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230923;;5;;;1931;;;65040;003;e4*2007/46*1293*04;E3D;PP2N;0.03;0;0;2019;2023-09-23T00:00:00.000;;;;;;;;;;;;;;;;;;
WX23ZL;Aanhangwagen;HENRA;K;20030820;kipper;N.v.t.;N.v.t.;660;2000;20000229;20000229;Geen verstrekking in Open Data;N.v.t.;100;1340;0;0;406;0;0;180;O2;tegen r. balk 120 cm v. hart asstel;2000;0;70;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2003-08-20T00:00:00.000;2000-02-29T00:00:00.000;2000-02-29T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L365PP;Personenauto;VOLKSWAGEN;POLO;20210714;hatchback;ZWART;Niet geregistreerd;1063;1620;20210714;20210714;Geen verstrekking in Open Data;Ja;187;;5;4;0;0;405;175;M1;;1620;0;255;Nee;Nee;Nee;2620;Logisch;00;Ja;2021-07-14T00:00:00.000;2021-07-14T00:00:00.000;2021-07-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250714;3278;5;3;999;1163;580;1000;25695;AW;e1*2007/46*1783*23;ABDLAC;FM5FM5DF008N2VR24BI1AA0G;0.06;0;0;2021;2025-07-14T00:00:00.000;143;B;;;;;;;;;;50;;;;;;
31WGKF;Aanhangwagen;FENDT;170;20211008;caravan;N.v.t.;N.v.t.;1300;1700;20120928;20120928;Geen verstrekking in Open Data;N.v.t.;100;400;0;0;736;0;741;229;O2;tegen r. balk 040 cm v. achteras;1700;0;0;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2021-10-08T00:00:00.000;2012-09-28T00:00:00.000;2012-09-28T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LGJ42P;Land- of bosb aanhw of getr uitr stuk;JAKO;14000;20211004;Niet geregistreerd;N.v.t.;N.v.t.;;;19960630;20211004;Geen verstrekking in Open Data;Nee;39;;;;;;;;R;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-10-04T00:00:00.000;1996-06-30T00:00:00.000;2021-10-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N656FR;Personenauto;FORD;FOCUS;20211001;stationwagen;WIT;Niet geregistreerd;1361;2025;20121012;20211001;Geen verstrekking in Open Data;Ja;248;;4;4;0;0;0;182;M1;;2025;0;265;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2021-10-01T00:00:00.000;2012-10-12T00:00:00.000;2021-10-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20220929;822;5;4;1999;1461;;;35058;DYB;e13*2007/46*1138*06;R9DA1L;5KMBNF;0.13;0;;2021;2022-09-29T00:00:00.000;;;;;;;;;;;;;;;;;;
H735NJ;Personenauto;SKODA;KAROQ;20200318;stationwagen;GRIJS;Niet geregistreerd;1295;1881;20200318;20200318;Geen verstrekking in Open Data;Ja;204;;4;4;0;0;438;184;M1;;1881;0;262;Nee;Nee;Nee;3381;Logisch;00;Ja;2020-03-18T00:00:00.000;2020-03-18T00:00:00.000;2020-03-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240318;5858;5;4;1498;1395;690;1500;40966;NU;e8*2007/46*0272*14;ACDPCAX0;NFD7FD7CW0024BF160N1B8B;0.08;0;0;2021;2024-03-18T00:00:00.000;160;C;;;;;;;;;;;;;;;;
