kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;vermogen_massarijklaar;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;hoogte_voertuig;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;aanhangwagen_middenas_geremd;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;aanhangwagen_autonoom_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;subcategorie_nederland;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
L565PX;Personenauto;VOLKSWAGEN;GOLF;20211210;stationwagen;ZWART;Niet geregistreerd;1331;1910;20101202;20210705;Geen verstrekking in Open Data;Ja;220;;4;4;0;0;420;179;M1;;1910;0;258;Nee;Nee;Nee;3450;Geen oordeel;05;Ja;2021-12-10T00:00:00.000;2010-12-02T00:00:00.000;2021-07-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20220708;1653;5;4;1968;1431;710;1500;40081;1K;e1*2001/116*0242*35;ACCFGBX0;FD6FD62E018N7MGVI;0.09;0;0;2021;2022-07-08T00:00:00.000;146;;;;;;;;;;;;;;;;;
L327JD;Personenauto;MERCEDES-BENZ;A 200;20210603;stationwagen;WIT;Niet geregistreerd;1275;1885;20181019;20210603;Geen verstrekking in Open Data;Ja;225;;5;4;0;0;0;180;M1;;1885;0;273;Nee;Ja;Nee;3540;Geen oordeel;05;Ja;2021-06-03T00:00:00.000;2018-10-19T00:00:00.000;2021-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221019;2424;5;4;1332;1375;685;1600;42106;F2A;e1*2007/46*1829*03;X2H7T2;FZAZ153B;0.09;0;0;2022;2022-10-19T00:00:00.000;;;;;;;;;;;;;;;;;;
46WL66;Aanhangwagen;AVENTO;MASTER 400 TL;20111011;caravan;N.v.t.;N.v.t.;574;925;19860623;19860623;Geen verstrekking in Open Data;N.v.t.;100;351;;2;549;;;209;O2;r. op trekdriehoek 060 cm a. hart koppeling;925;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2011-10-11T00:00:00.000;1986-06-23T00:00:00.000;1986-06-23T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VFH14T;Bedrijfsauto;PEUGEOT;EXPERT;20220301;gesloten opbouw;N.v.t.;N.v.t.;1617;3100;20200227;20200227;Geen verstrekking in Open Data;Ja;170;1483;3;4;0;0;496;192;N1;;3100;0;328;Nee;Nee;Nee;5000;Logisch;00;Ja;2022-03-01T00:00:00.000;2020-02-27T00:00:00.000;2020-02-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230227;9980;3;4;1997;1717;750;;41138;V;e2*2007/46*0533*10;F;AHKK-B2F01D;0.05;0;0;2021;2023-02-27T00:00:00.000;194;;;;;;;2500;;;;;;;;;;
H125TJ;Personenauto;LAND ROVER;RANGE ROVER EVOQUE;20200708;stationwagen;GRIJS;Niet geregistreerd;1800;2430;20200228;20200708;Geen verstrekking in Open Data;Ja;216;;5;4;0;0;0;190;M1;;2430;0;268;Nee;Ja;Nee;4230;Geen oordeel;05;Ja;2020-07-08T00:00:00.000;2020-02-28T00:00:00.000;2020-07-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240228;15324;5;4;1997;1900;750;1800;74023;LZ;e5*2007/46*0076*02;S5CC2L;A5BAA;0;0;0;2021;2024-02-28T00:00:00.000;165;;;;;;;;;;;;;;;;;
VNH35B;Bedrijfsauto;IVECO;35C16;20211203;gesloten opbouw;N.v.t.;N.v.t.;2715;3500;20190506;20211203;Geen verstrekking in Open Data;Ja;;785;2;4;0;0;671;215;N1;r. balk by vooras;3500;0;410;Nee;Nee;Nee;7000;Geen oordeel;05;Ja;2021-12-03T00:00:00.000;2019-05-06T00:00:00.000;2021-12-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221119;14551;3;4;2287;2815;750;;60379;IS35CI2AA;e2*KS07/46*0016*06;ID11A1ARG4EA2EJ66A;GFC6ID21100130;0.04;0;0;2021;2022-11-19T00:00:00.000;;;20211118;2021-11-18T00:00:00.000;;;;3500;;;;;;;;;;
23WTJH;Middenasaanhangwagen;KNAUS;W04;20191018;caravan;N.v.t.;N.v.t.;1150;1400;20191018;20191018;Geen verstrekking in Open Data;N.v.t.;100;250;0;2;722;0;728;232;O2;;1500;0;440;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2019-10-18T00:00:00.000;2019-10-18T00:00:00.000;2019-10-18T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;KWE;e1*2007/46*0162*07;W04;04E3LBA;;0;0;;;;;;;;;;;;;;;;;;;;
92MPBZ;Motorfiets;PIAGGIO;VESPA GTS;20210521;Niet geregistreerd;N.v.t.;N.v.t.;153;340;20210521;20210521;Geen verstrekking in Open Data;Ja;120;;0;2;0;0;195;76;L3;;340;0;138;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2021-05-21T00:00:00.000;2021-05-21T00:00:00.000;2021-05-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;725;2;1;278;160;;;6559;MD3C;e9*168/2013*11663*00;1;00;0.11;0;0;;;117;;;;;;;;e;e;;;;;;;;
J353FS;Personenauto;NISSAN;NISSAN JUKE;20200810;MPV;ZWART;Niet geregistreerd;1157;1700;20200810;20200810;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;421;180;M1;;1700;1;264;Nee;Nee;Nee;2950;Logisch;00;Ja;2020-08-10T00:00:00.000;2020-08-10T00:00:00.000;2020-08-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240810;4294;5;3;999;1257;628;1250;25641;F16;e9*2007/46*6697*01;A;A02;0.07;0;0;2022;2024-08-10T00:00:00.000;158;C;;;;;;;;;;;;;;;;
N883RN;Personenauto;TESLA;MODEL 3;20211220;sedan;WIT;Niet geregistreerd;1735;2149;20211220;20211220;Geen verstrekking in Open Data;Ja;225;;4;4;0;0;469;185;M1;;2149;0;288;Nee;Nee;Nee;0;Logisch;00;Ja;2021-12-20T00:00:00.000;2021-12-20T00:00:00.000;2021-12-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20251220;;5;;;1835;;;48980;003;e4*2007/46*1293*20;E6LR;PGB1S5N;0.05;0;0;2021;2025-12-20T00:00:00.000;144;;20211209;2021-12-09T00:00:00.000;;;;;;;;;;;;;;
WGTT66;Aanhangwagen;ANSSEMS;BSX1;20090206;open wagen;N.v.t.;N.v.t.;270;1300;20030526;20030526;Geen verstrekking in Open Data;N.v.t.;100;1030;0;0;358;0;361;170;O2;r. op trekdriehoek 060 cm a. hart koppeling;1300;0;0;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2009-02-06T00:00:00.000;2003-05-26T00:00:00.000;2003-05-26T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WT17YV;Aanhangwagen;VERDONK;VA-TA-PL;20030827;gesloten opbouw;N.v.t.;N.v.t.;1120;2000;19981103;19981103;Geen verstrekking in Open Data;N.v.t.;100;880;;;653;;;221;O2;r. op trekdriehoek 070 cm a. hart koppeling;2000;;72;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2003-08-27T00:00:00.000;1998-11-03T00:00:00.000;1998-11-03T00:00:00.000;50;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H767PP;Personenauto;HYUNDAI;I20;20200603;MPV;GRIJS;Niet geregistreerd;945;1515;20111027;20200603;Geen verstrekking in Open Data;Ja;165;;4;4;0;0;394;171;M1;;1515;0;253;Nee;Nee;Nee;2365;Geen oordeel;05;Ja;2020-06-03T00:00:00.000;2011-10-27T00:00:00.000;2020-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230325;1186;5;4;1248;1045;450;850;13469;PBT;e11*2007/46*0129*01;F5P41;M51AZ1;0.05;0;0;2022;2023-03-25T00:00:00.000;149;A;;;;;;;;;;;;;;;;
H580KH;Personenauto;SKODA;CITIGO;20200227;hatchback;WIT;Niet geregistreerd;1135;1530;20200227;20200227;Geen verstrekking in Open Data;Ja;130;;5;4;0;0;360;165;M1;;1530;0;242;Nee;Nee;Nee;0;Logisch;00;Ja;2020-02-27T00:00:00.000;2020-02-27T00:00:00.000;2020-02-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240227;;4;;;1235;;;22570;AA;e13*2007/46*1169*19;ABEBMA;FA1FA1CZ0020GAVR0N1ESK1B14O;0.05;0;0;2020;2024-02-27T00:00:00.000;148;;;;;;;;;;;;;;;;;
WN67PF;Aanhangwagen;HOBBY;380;20190103;caravan;N.v.t.;N.v.t.;860;1050;19950524;19950524;Geen verstrekking in Open Data;N.v.t.;100;190;;2;557;;;220;O2;r. tegen voorste dwarsbalk;1050;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2019-01-03T00:00:00.000;1995-05-24T00:00:00.000;1995-05-24T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
THS23K;Motorrijtuig met beperkte snelheid;JCB;520;20210708;Niet geregistreerd;N.v.t.;N.v.t.;;;19980630;20210708;Geen verstrekking in Open Data;Ja;;;;;;;;;Z;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-07-08T00:00:00.000;1998-06-30T00:00:00.000;2021-07-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;Verreiker;;;
N244NS;Personenauto;TOYOTA;TOYOTA RAV4;20220319;MPV;BRUIN;Niet geregistreerd;1665;2270;20161231;20220105;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;461;185;M1;r. onder voorzitting;2270;0;266;Nee;Nee;Nee;3920;Geen oordeel;05;Ja;2022-03-19T00:00:00.000;2016-12-31T00:00:00.000;2022-01-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240317;4000;5;4;2494;1765;750;1650;48394;XA4(EU,M);e6*2007/46*0166*01;AVA44(N);AVA44L-ANXGBW(6R);0.01;0;0;2022;2024-03-17T00:00:00.000;;;20211122;2021-11-22T00:00:00.000;;;;;;;;;;;;;;
K726RG;Personenauto;VOLVO;XC90;20210218;MPV;ZWART;Niet geregistreerd;2227;2980;20210218;20210218;Geen verstrekking in Open Data;Ja;180;;5;4;0;0;495;196;M1;;2980;0;298;Nee;Nee;Nee;5380;Logisch;00;Ja;2021-02-18T00:00:00.000;2021-02-18T00:00:00.000;2021-02-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250218;4010;7;4;1969;2327;750;2400;94264;L;e4*2007/46*0929*16;LFBM;LFBMVD0?;0.1;0;0;2022;2025-02-18T00:00:00.000;174;A;;;;;;;;;;;;;;;;
WJ06RZ;Aanhangwagen;NEOLITH;HOTSPOT;20170428;speciale groep;N.v.t.;N.v.t.;996;1600;19930209;19930209;Geen verstrekking in Open Data;N.v.t.;100;604;;2;342;;;165;O2;r. op trekdriehoek 080 cm a. hart koppeling;1600;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2017-04-28T00:00:00.000;1993-02-09T00:00:00.000;1993-02-09T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WL2916;Aanhangwagen;CONSTRUCTAM;CONCORDE 5;20030602;caravan;N.v.t.;N.v.t.;687;1000;19770914;19770914;Geen verstrekking in Open Data;N.v.t.;100;313;;2;579;;;216;O2;r. op trekdriehoek 065 cm a. hart koppeling;1000;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2003-06-02T00:00:00.000;1977-09-14T00:00:00.000;1977-09-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P666FR;Personenauto;TOYOTA;TOYOTA YARIS;20220310;hatchback;BLAUW;Niet geregistreerd;1060;1615;20220310;20220310;Geen verstrekking in Open Data;Ja;175;;4;4;0;0;394;175;M1;;1615;0;256;Nee;Nee;Nee;2065;Logisch;00;Ja;2022-03-10T00:00:00.000;2022-03-10T00:00:00.000;2022-03-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20260310;646;5;3;1490;1160;450;450;24097;XPA1F(EU,M);e6*2007/46*0437*02;MXPH11(H);MXPH11L-BHXNBW(1C);0.06;0;0;2022;2026-03-10T00:00:00.000;150;A;20220222;2022-02-22T00:00:00.000;;;;;;;;50;;;;;;
ZP933T;Personenauto;SEAT;LEON ST;20190712;stationwagen;GRIJS;Niet geregistreerd;1194;1860;20190712;20190712;Geen verstrekking in Open Data;Ja;215;;5;4;0;0;0;0;M1;;1860;0;262;Nee;Nee;Nee;3360;Logisch;00;Ja;2019-07-12T00:00:00.000;2019-07-12T00:00:00.000;2019-07-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230712;5217;5;4;1498;1294;640;1500;34242;5F;e9*2007/46*0094*34;FDADAX0V;FD7SFD7CW0027CPVLO51EB;0.09;0;0;2021;2023-07-12T00:00:00.000;;;;;;;;;;;;;;;;;;
WK63YS;Aanhangwagen;HOBBY;10 D;20030806;caravan;N.v.t.;N.v.t.;841;1050;19940222;19940222;Geen verstrekking in Open Data;N.v.t.;100;209;;2;592;;;220;O2;r. tegen voorste dwarsbalk;1050;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2003-08-06T00:00:00.000;1994-02-22T00:00:00.000;1994-02-22T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDT14Z;Bedrijfsauto;VOLKSWAGEN;CADDY MODIFIED PARTITION WALL;20211005;gesloten opbouw;N.v.t.;N.v.t.;1405;2161;20200306;20200306;Geen verstrekking in Open Data;Ja;172;756;3;4;0;448;441;179;N1;;2161;0;268;Nee;Nee;Nee;3650;Logisch;00;Ja;2021-10-05T00:00:00.000;2020-03-06T00:00:00.000;2020-03-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230306;7575;2;4;1968;1505;690;;31014;2KN-PON;e4*2007/46*1480*01;BBDFSDX0;N0J2FM5FM5A4057N1SN2VR24BGG2NLL1AAZ;0.05;0;0;2021;2023-03-06T00:00:00.000;182;;;;;;;1500;;;;;;;;;;
J725DV;Personenauto;VOLVO;XC40;20200710;stationwagen;ZWART;Niet geregistreerd;1611;2230;20200710;20200710;Geen verstrekking in Open Data;Ja;180;;5;4;0;0;443;187;M1;;2230;0;270;Nee;Nee;Nee;4330;Logisch;00;Ja;2020-07-10T00:00:00.000;2020-07-10T00:00:00.000;2020-07-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240710;8050;5;4;1969;1711;750;2100;55136;X;e9*2007/46*3146*08;XZK9;XZK9VD0?;0.08;0;0;2021;2024-07-10T00:00:00.000;163;C;;;;;;;;;;;;;;;;
WDJJ04;Aanhangwagen;HAPERT;AL;20030626;open wagen;N.v.t.;N.v.t.;540;2000;20011031;20011031;Geen verstrekking in Open Data;N.v.t.;100;1460;0;0;536;0;0;186;O2;r. tegen voorste dwarsbalk;2000;0;75;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2003-06-26T00:00:00.000;2001-10-31T00:00:00.000;2001-10-31T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TXD51N;Motorrijtuig met beperkte snelheid;NEW HOLLAND;BOOMER 25;20211214;Niet geregistreerd;N.v.t.;N.v.t.;;;20190630;20211214;Geen verstrekking in Open Data;Nee;;;;;;;;;Z;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-12-14T00:00:00.000;2019-06-30T00:00:00.000;2021-12-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;BOOMER;;;;0;;;;;;;;;;;;;;;;;;;Overige agrarische machine;;;
LNK53P;Land- of bosb aanhw of getr uitr stuk;ZELFBOUW;ONBEKEND;20220214;Niet geregistreerd;N.v.t.;N.v.t.;;;19950630;20220214;Geen verstrekking in Open Data;Nee;30;;;;;;;;R;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2022-02-14T00:00:00.000;1995-06-30T00:00:00.000;2022-02-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G905FV;Personenauto;MERCEDES-BENZ;A 180;20191012;stationwagen;ZWART;Niet geregistreerd;1295;1920;20150624;20190916;Geen verstrekking in Open Data;Ja;202;;5;4;0;0;0;0;M1;;1920;0;270;Nee;Nee;Nee;3120;Geen oordeel;05;Ja;2019-10-12T00:00:00.000;2015-06-24T00:00:00.000;2019-09-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20231008;1108;5;4;1595;1395;695;1200;46235;245 G;e1*2001/116*0470*12;124GQ2;OZAAB503;0.06;0;0;2022;2023-10-08T00:00:00.000;;B;;;;;;;;;;;;;;;;
LGH36S;Land- of bosb aanhw of getr uitr stuk;SCHUITEMAKER;ROBUSTA 116;20210930;Niet geregistreerd;N.v.t.;N.v.t.;;;19990630;20210930;Geen verstrekking in Open Data;Nee;40;;;;;;;;R;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-09-30T00:00:00.000;1999-06-30T00:00:00.000;2021-09-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZT600J;Personenauto;MASERATI;GHIBLI;20190730;sedan;ROOD;Niet geregistreerd;1340;1850;19960322;20190730;Geen verstrekking in Open Data;Ja;265;;2;4;;;;;M1;r. schutbord;1850;;251;Nee;Nee;Nee;;Geen oordeel;05;Ja;2019-07-30T00:00:00.000;1996-03-22T00:00:00.000;2019-07-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230311;28925;5;6;1996;1440;;;;336B204P;;;;0.16;;;2022;2023-03-11T00:00:00.000;;;;;;;;;;;;;;;;;;
24NTB4;Personenauto;OPEL;CORSA;20160620;MPV;ZWART;Niet geregistreerd;1088;1640;20101111;20101111;Geen verstrekking in Open Data;Ja;;;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1640;0;251;Nee;Nee;Nee;2620;Logisch;00;Ja;2016-06-20T00:00:00.000;2010-11-11T00:00:00.000;2010-11-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221111;3859;5;4;1398;1188;500;1000;22136;S-D;e1*2001/116*0379*15;PR11;1AADB9Y0FEA5;0.06;0;;2022;2022-11-11T00:00:00.000;;B;;;;;;;;;;;;;;;;
