kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;type_gasinstallatie;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;laadvermogen;aanhangwagen_middenas_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;aanhangwagen_autonoom_geremd
ZJLF95;Personenauto;SUBARU;IMPREZA;20221020;20220106;5529;sedan;5;GROEN;Niet geregistreerd;4;1994;1230;1750;1330;500;1200;19990521;19990521;Geen verstrekking in Open Data;;Ja;4;4;0;0;435;0;M1;r. tegen schutbord onder motorkap;1750;;e13*96/79*0026*02;GCT;110;1;0.12;252;Nee;Nee;Nee;2950;0;2021;Logisch;00;Ja;2022-10-20T00:00:00.000;2022-01-06T00:00:00.000;1999-05-21T00:00:00.000;1999-05-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
73KVX8;Personenauto;SUBARU;FORESTER;20220703;20180703;9719;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1450;2015;1550;750;1500;20100311;20100311;Geen verstrekking in Open Data;36790;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*02;SH5;530;0;0.07;262;Nee;Nee;Nee;3515;0;2021;Logisch;00;Ja;2022-07-03T00:00:00.000;2018-07-03T00:00:00.000;2010-03-11T00:00:00.000;2010-03-11T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
28XRK6;Personenauto;SUBARU;SUBARU XV;20220713;20170930;6117;stationwagen;5;WIT;Niet geregistreerd;4;1995;1355;1940;1455;650;1200;20120713;20120713;Geen verstrekking in Open Data;33189;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*01;GX7;5C0;0;0.08;264;Nee;Nee;Nee;3140;0;2021;Logisch;00;Ja;2022-07-13T00:00:00.000;2017-09-30T00:00:00.000;2012-07-13T00:00:00.000;2012-07-13T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
THDB75;Personenauto;SUBARU;IMPREZA;20230501;20030628;3172;sedan;;ROOD;Niet geregistreerd;4;1597;1025;1580;1125;500;1000;19980423;19980423;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1580;;e13*96/79*0026*01;GC3;020;1;0.06;252;Nee;Nee;Nee;2580;0;2022;Geen oordeel;07;Ja;2023-05-01T00:00:00.000;2003-06-28T00:00:00.000;1998-04-23T00:00:00.000;1998-04-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
SRDR35;Personenauto;SUBARU;IMPREZA;20180108;20180108;3739;sedan;;GRIJS;Niet geregistreerd;4;1994;1110;1680;1210;500;1200;19980108;19980108;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1680;;e13*95/54*0026*00;GC8;010;1;0.07;252;Nee;Nee;Nee;2880;0;2018;Logisch;00;Ja;2018-01-08T00:00:00.000;2018-01-08T00:00:00.000;1998-01-08T00:00:00.000;1998-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
44XSDH;Personenauto;SUBARU;IMPREZA;20220907;20201123;7307;stationwagen;5;BLAUW;Niet geregistreerd;4;1994;1330;1890;1430;650;1600;20070907;20070907;Geen verstrekking in Open Data;29888;Ja;4;4;0;0;442;0;M1;midden tegen schutbord onder motorkap;1890;;e1*2001/116*0438*00;GH7;0A0;0;0.08;262;Nee;Nee;Nee;3490;0;2021;Logisch;00;Ja;2022-09-07T00:00:00.000;2020-11-23T00:00:00.000;2007-09-07T00:00:00.000;2007-09-07T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
07JBPJ;Personenauto;SUBARU;FORESTER;20230204;20200207;6202;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1320;1875;1420;500;1500;20020216;20020216;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1875;;e13*98/14*0029*03;SF5;010;1;0.06;253;Nee;Nee;Nee;3375;0;2022;Logisch;00;Ja;2023-02-04T00:00:00.000;2020-02-07T00:00:00.000;2002-02-16T00:00:00.000;2002-02-16T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
36PDP8;Personenauto;SUBARU;IMPREZA;20230418;20120229;10492;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1340;1890;1440;650;1600;20110902;20110902;Geen verstrekking in Open Data;28590;Ja;4;4;0;0;443;0;M1;midden tegen schutbord onder motorkap;1890;G3;e1*2001/116*0438*06;GH7;0S0;0;0.08;262;Nee;Nee;Nee;3490;0;2022;Logisch;00;Ja;2023-04-18T00:00:00.000;2012-02-29T00:00:00.000;2011-09-02T00:00:00.000;2011-09-02T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
24ZGBS;Personenauto;SUBARU;JUSTY;20220702;20200702;2071;hatchback;5;GRIJS;Niet geregistreerd;3;998;865;1390;965;350;750;20080117;20080117;Geen verstrekking in Open Data;12894;Ja;4;4;0;0;361;0;M1;r. op schutbord onder motorkap;1390;;e13*03/97*0147*03;M300LF;GMNEW;0;0.05;243;Nee;Nee;Nee;2140;0;2021;Logisch;00;Ja;2022-07-02T00:00:00.000;2020-07-02T00:00:00.000;2008-01-17T00:00:00.000;2008-01-17T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
L562FK;Personenauto;SUBARU;FORESTER;20240420;20210730;9161;stationwagen;5;BRUIN;Niet geregistreerd;4;1995;1529;2015;1629;750;2000;20180420;20210430;Geen verstrekking in Open Data;49790;Ja;4;4;;;;180;M1;;2015;SJ;e13*2007/46*1305*08;SJ5;5C0;0;0.07;264;Nee;Nee;Nee;4015;;2022;Geen oordeel;05;Ja;2024-04-20T00:00:00.000;2021-07-30T00:00:00.000;2018-04-20T00:00:00.000;2021-04-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;192;;;;;;;
ZV635T;Personenauto;SUBARU;FORESTER;20240405;20190819;5794;stationwagen;5;BLAUW;Niet geregistreerd;4;1995;1500;2015;1600;750;2000;20180405;20190819;Geen verstrekking in Open Data;44009;Ja;4;4;0;0;0;180;M1;;2015;SJ;e13*2007/46*1305*08;SJ5;530;0;0.07;264;Nee;Nee;Nee;4015;0;2022;Geen oordeel;05;Ja;2024-04-05T00:00:00.000;2019-08-19T00:00:00.000;2018-04-05T00:00:00.000;2019-08-19T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;192;;;;;;;
59RHLS;Personenauto;SUBARU;FORESTER;20220410;20161221;7662;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1350;1880;1450;725;1500;20050409;20050409;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*02;SG5;510;1;0.06;253;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2022-04-10T00:00:00.000;2016-12-21T00:00:00.000;2005-04-09T00:00:00.000;2005-04-09T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
01XDBX;Personenauto;SUBARU;FORESTER;20221104;20140304;11533;stationwagen;5;GRIJS;Niet geregistreerd;4;2457;1460;2000;1560;750;2000;20070417;20070417;Geen verstrekking in Open Data;44529;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;2000;;e13*98/14*0087*04;SG9;050;0;0.11;253;Nee;Nee;Nee;4000;0;2022;Logisch;00;Ja;2022-11-04T00:00:00.000;2014-03-04T00:00:00.000;2007-04-17T00:00:00.000;2007-04-17T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
50SHLR;Personenauto;SUBARU;FORESTER;20221113;20151121;11819;stationwagen;5;BLAUW;Niet geregistreerd;4;2457;1485;2000;1585;750;2000;20060104;20060104;Geen verstrekking in Open Data;46989;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;2000;;e13*98/14*0087*03;SG9;550;0;0.11;253;Nee;Nee;Nee;4000;0;2021;Logisch;00;Ja;2022-11-13T00:00:00.000;2015-11-21T00:00:00.000;2006-01-04T00:00:00.000;2006-01-04T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
TD899J;Personenauto;SUBARU;FORESTER;20220806;20180824;7024;stationwagen;5;WIT;Niet geregistreerd;4;1995;1485;2015;1585;750;1500;20130424;20180824;Geen verstrekking in Open Data;45851;Ja;4;4;0;0;456;0;M1;by schutbord;2015;SHS;e1*2001/116*0485*06;SH5;5F0;0;0.07;262;Nee;Nee;Nee;3515;0;2021;Geen oordeel;05;Ja;2022-08-06T00:00:00.000;2018-08-24T00:00:00.000;2013-04-24T00:00:00.000;2018-08-24T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
75PTFH;Personenauto;SUBARU;IMPREZA;20220816;20181208;3431;stationwagen;5;ZWART;Niet geregistreerd;4;1994;1330;1800;1430;500;1600;20041116;20041116;Geen verstrekking in Open Data;;Ja;4;4;0;0;441;0;M1;r. op schutbord onder motorkap;1800;;e1*98/14*0145*02;GG9;030;1;0.06;252;Nee;Nee;Nee;3400;0;2021;Logisch;00;Ja;2022-08-16T00:00:00.000;2018-12-08T00:00:00.000;2004-11-16T00:00:00.000;2004-11-16T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;G3 gasinstallatie;0;;;;;;;;
30RKB9;Personenauto;SUBARU;SUBARU TREZIA;20220928;20110928;2599;hatchback;5;GRIJS;Niet geregistreerd;4;1329;1045;1505;1145;550;800;20110928;20110928;Geen verstrekking in Open Data;17549;Ja;4;4;0;0;400;0;M1;r. voorzitting;1505;D1(A);e11*2007/46*0021*00;NSP120(HF);NSP120L-FHFXKW(1A);0;0.06;255;Nee;Nee;Nee;2305;0;2021;Logisch;00;Ja;2022-09-28T00:00:00.000;2011-09-28T00:00:00.000;2011-09-28T00:00:00.000;2011-09-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
58ZSDS;Personenauto;SUBARU;JUSTY;20220528;20210819;1408;hatchback;5;GRIJS;Niet geregistreerd;3;998;865;1390;965;350;750;20080516;20080516;Geen verstrekking in Open Data;;Ja;4;4;0;0;361;0;M1;r. op schutbord onder motorkap;1390;;e13*03/97*0147*03;M300LF;GMNEW;0;0.05;243;Nee;Nee;Nee;2140;0;2021;Logisch;00;Ja;2022-05-28T00:00:00.000;2021-08-19T00:00:00.000;2008-05-16T00:00:00.000;2008-05-16T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
34RGPD;Personenauto;SUBARU;FORESTER;20230405;20191117;9561;stationwagen;5;ROOD;Niet geregistreerd;4;1994;1425;1950;1525;750;1950;20050318;20050318;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1950;;e13*98/14*0087*01;SGT;510;0;0.09;253;Nee;Nee;Nee;3900;0;2022;Logisch;00;Ja;2023-04-05T00:00:00.000;2019-11-17T00:00:00.000;2005-03-18T00:00:00.000;2005-03-18T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
9TJB88;Personenauto;SUBARU;SUBARU XV;20230215;20190216;7434;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1355;1940;1455;650;1200;20140220;20140220;Geen verstrekking in Open Data;33690;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*01;GX7;5C0;0;0.08;264;Nee;Nee;Nee;3140;0;2021;Logisch;00;Ja;2023-02-15T00:00:00.000;2019-02-16T00:00:00.000;2014-02-20T00:00:00.000;2014-02-20T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
92RFB8;Personenauto;SUBARU;FORESTER;20230527;20220304;12879;stationwagen;5;GROEN;Niet geregistreerd;4;1998;1525;2050;1625;750;2000;20110516;20110516;Geen verstrekking in Open Data;42089;Nee;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2050;SH;e13*2001/116*0982*06;SHD;0H0;0;0.07;262;Nee;Nee;Nee;4050;0;2022;Logisch;00;Ja;2023-05-27T00:00:00.000;2022-03-04T00:00:00.000;2011-05-16T00:00:00.000;2011-05-16T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
14PDPJ;Personenauto;SUBARU;LEGACY;20220517;20070322;11668;stationwagen;5;GRIJS;Niet geregistreerd;6;3000;1520;2060;1620;750;2000;20040511;20040511;Geen verstrekking in Open Data;;Ja;4;4;0;0;473;0;M1;r. tegen schutbord onder motorkap;2060;;e1*2001/116*0228*01;BPE;5E0;0;0.11;267;Nee;Ja;Nee;4060;0;2021;Logisch;00;Ja;2022-05-17T00:00:00.000;2007-03-22T00:00:00.000;2004-05-11T00:00:00.000;2004-05-11T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
22PXF3;Personenauto;SUBARU;FORESTER;20220606;20170901;7049;stationwagen;5;BLAUW;Niet geregistreerd;4;1995;1455;2015;1555;750;2000;20110606;20110606;Geen verstrekking in Open Data;32290;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*06;SH5;0F0;0;0.07;262;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2022-06-06T00:00:00.000;2017-09-01T00:00:00.000;2011-06-06T00:00:00.000;2011-06-06T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
83XHZH;Personenauto;SUBARU;FORESTER;20220629;20070629;9498;stationwagen;5;BLAUW;Niet geregistreerd;4;1994;1380;1880;1480;725;1500;20070629;20070629;Geen verstrekking in Open Data;37493;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*05;SG5;530;0;0.08;253;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2022-06-29T00:00:00.000;2007-06-29T00:00:00.000;2007-06-29T00:00:00.000;2007-06-29T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
HV617J;Personenauto;SUBARU;FORESTER;20240227;20170126;7079;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1509;2015;1609;750;2000;20160227;20160227;Geen verstrekking in Open Data;40790;Ja;4;4;0;0;460;0;M1;in bodemplaat r. v.;2015;SJ;e13*2007/46*1305*04;SJ5;530;0;0.07;264;Nee;Ja;Nee;4015;0;2022;Logisch;00;Ja;2024-02-27T00:00:00.000;2017-01-26T00:00:00.000;2016-02-27T00:00:00.000;2016-02-27T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
TR459N;Personenauto;SUBARU;SUBARU XV;20231130;20181130;7415;stationwagen;5;ZWART;Niet geregistreerd;4;1995;1355;1940;1455;650;1200;20150123;20181130;Geen verstrekking in Open Data;30976;Ja;4;4;0;0;445;0;M1;;1940;G4;e1*2007/46*0597*03;GX7;5C0;0;0.08;264;Nee;Nee;Nee;3140;0;2021;Geen oordeel;05;Ja;2023-11-30T00:00:00.000;2018-11-30T00:00:00.000;2015-01-23T00:00:00.000;2018-11-30T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
G746GJ;Personenauto;SUBARU;OUTBACK;20230917;20201013;15651;stationwagen;5;BLAUW;Niet geregistreerd;4;2498;1582;2100;1682;750;2000;20190917;20201013;Geen verstrekking in Open Data;46921;Ja;4;4;0;0;482;0;M1;r. onder voorzitting;2100;B6;e1*2007/46*1320*04;BS9;C8L;0;0.08;275;Nee;Nee;Nee;4100;0;2021;Geen oordeel;05;Ja;2023-09-17T00:00:00.000;2020-10-13T00:00:00.000;2019-09-17T00:00:00.000;2020-10-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
HS028F;Personenauto;SUBARU;FORESTER;20230407;20210409;7079;stationwagen;5;BRUIN;Niet geregistreerd;4;1995;1480;2015;1580;750;2000;20160104;20160104;Geen verstrekking in Open Data;35789;Ja;4;4;0;0;460;0;M1;in bodemplaat r. v.;2015;SJ;e13*2007/46*1305*04;SJ5;530;0;0.07;264;Nee;Nee;Nee;4015;0;2022;Logisch;00;Ja;2023-04-07T00:00:00.000;2021-04-09T00:00:00.000;2016-01-04T00:00:00.000;2016-01-04T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
29NKJ5;Personenauto;SUBARU;FORESTER;20221004;20211004;9616;stationwagen;5;BLAUW;Niet geregistreerd;4;1994;1490;2015;1590;750;2000;20101005;20101005;Geen verstrekking in Open Data;36789;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*02;SH5;030;0;0.07;262;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2022-10-04T00:00:00.000;2021-10-04T00:00:00.000;2010-10-05T00:00:00.000;2010-10-05T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;G3 gasinstallatie;0;;;;;;;;
90XGK5;Personenauto;SUBARU;SUBARU XV;20230224;20170107;6377;stationwagen;5;BLAUW;Niet geregistreerd;4;1995;1325;1940;1425;650;1600;20120602;20120602;Geen verstrekking in Open Data;29189;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*01;GX7;0C0;0;0.08;264;Nee;Nee;Nee;3540;0;2022;Logisch;00;Ja;2023-02-24T00:00:00.000;2017-01-07T00:00:00.000;2012-06-02T00:00:00.000;2012-06-02T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
50RKNK;Personenauto;SUBARU;SUBARU LEGACY;20230404;20220312;9010;stationwagen;5;BEIGE;Niet geregistreerd;4;2457;1405;1960;1505;750;1800;20050513;20050513;Geen verstrekking in Open Data;;Ja;4;4;0;0;473;0;M1;r. tegen schutbord onder motorkap;1960;;e1*2001/116*0256*00;BP9;0D0;0;0.08;267;Nee;Ja;Nee;3760;0;2022;Logisch;00;Ja;2023-04-04T00:00:00.000;2022-03-12T00:00:00.000;2005-05-13T00:00:00.000;2005-05-13T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
LNZL90;Personenauto;SUBARU;IMPREZA 1.6 GL U9;20211229;20211223;3298;sedan;;ROOD;Niet geregistreerd;4;1597;1030;1580;1130;500;1000;19950601;19950601;Geen verstrekking in Open Data;;Nee;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1580;;;;;0;0.06;252;Ja;Nee;Nee;2580;;2022;Logisch;00;Nee;2021-12-29T00:00:00.000;2021-12-23T00:00:00.000;1995-06-01T00:00:00.000;1995-06-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
