kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;type_gasinstallatie;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd
TXX25S;Land- of bosbouwtrekker;FIAT;680 DTH;;20211222;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19820630;20211222;Geen verstrekking in Open Data;;Nee;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-12-22T00:00:00.000;1982-06-30T00:00:00.000;2021-12-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
03PDJ1;Personenauto;FIAT;FIAT PUNTO;20230108;20120818;MPV;5;GRIJS;Niet geregistreerd;4;1248;1120;1705;1220;400;1000;20110108;20110108;Geen verstrekking in Open Data;17104;Ja;4;4;0;0;407;0;M1;r. op bodemplaat by voorzitting;1705;199;e3*2001/116*0217*19;BXY1A;49;0;0.05;251;Nee;Nee;Nee;2705;0;;2021;Onlogisch;04;Ja;2023-01-08T00:00:00.000;2012-08-18T00:00:00.000;2011-01-08T00:00:00.000;2011-01-08T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
97PGP9;Personenauto;FIAT;FIAT PANDA;20230119;20170330;MPV;4;ROOD;Niet geregistreerd;4;1242;835;1305;935;400;800;20110119;20110119;Geen verstrekking in Open Data;9464;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;169;e3*2001/116*0151*17;AXF1A;08C;0;0.05;230;Nee;Nee;Nee;2105;0;0;2021;Logisch;00;Ja;2023-01-19T00:00:00.000;2017-03-30T00:00:00.000;2011-01-19T00:00:00.000;2011-01-19T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
65SKZV;Personenauto;FIAT;FIAT PUNTO;20221228;20190426;MPV;4;ZWART;Niet geregistreerd;4;1368;1000;1505;1100;400;1000;20060217;20060217;Geen verstrekking in Open Data;;Ja;2;4;0;0;403;0;M1;r. op bodemplaat by voorzitting;1505;;e3*2001/116*0217*01;AXB1A;02C;0;0.05;251;Nee;Nee;Nee;2505;0;;2021;Logisch;00;Ja;2022-12-28T00:00:00.000;2019-04-26T00:00:00.000;2006-02-17T00:00:00.000;2006-02-17T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;3071;;;;;;;;;;;
RJZT80;Personenauto;FIAT;CINQUECENTO;20230107;20210714;hatchback;;ROOD;Niet geregistreerd;4;899;701;1150;801;350;400;19970404;19970404;Geen verstrekking in Open Data;;Ja;2;4;0;0;0;0;M1;r. op bodemplaat in kofferruimte;1150;;;;;0;0.04;220;Nee;Nee;Nee;1550;;;2021;Logisch;00;Ja;2023-01-07T00:00:00.000;2021-07-14T00:00:00.000;1997-04-04T00:00:00.000;1997-04-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;797;;;;;;;;;;;
87BNDL;Bedrijfsauto;FIAT;FIAT DOBLO CARGO 1.9 JTD;20221222;20141215;gesloten opbouw;2;N.v.t.;N.v.t.;4;1910;1285;1935;1385;500;;20040401;20040401;Geen verstrekking in Open Data;;Ja;0;4;0;0;0;171;N1;r. op bodemplaat v. r. voorzitting;1935;;;;;0;0.06;257;Nee;Nee;Nee;3035;;;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2014-12-15T00:00:00.000;2004-04-01T00:00:00.000;2004-04-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;650;1100;1100;;;;;;;;
KH872H;Personenauto;FIAT;FIAT 500;20230117;20190119;hatchback;4;GROEN;Niet geregistreerd;4;1242;840;1305;940;400;800;20090210;20160909;Geen verstrekking in Open Data;;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1305;312;e3*2001/116*0261*06;AXA1A;00C;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Geen oordeel;05;Ja;2023-01-17T00:00:00.000;2019-01-19T00:00:00.000;2009-02-10T00:00:00.000;2016-09-09T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1686;;;;;;;;;;;
8ZDV91;Personenauto;FIAT;FIAT 500;20221222;20210727;hatchback;4;GROEN;Niet geregistreerd;4;1242;840;1305;940;470;800;20081013;20141215;Geen verstrekking in Open Data;;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0261*00;AXA1A;00;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Geen oordeel;05;Ja;2022-12-22T00:00:00.000;2021-07-27T00:00:00.000;2008-10-13T00:00:00.000;2014-12-15T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1589;;;;0;;;;;;;
VS572V;Bedrijfsauto;FIAT;FIAT DOBLO;20230108;20171020;gesloten opbouw;2;N.v.t.;N.v.t.;4;1956;1405;2200;1505;500;;20160108;20160108;Geen verstrekking in Open Data;32624;Ja;0;4;0;0;476;183;N1;r. voorzitting;2465;263;e3*2007/46*0002*26;WXF1B;LR2CN;0;0.07;311;Nee;Nee;Nee;3500;0;0;2021;Logisch;00;Ja;2023-01-08T00:00:00.000;2017-10-20T00:00:00.000;2016-01-08T00:00:00.000;2016-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;7958;795;1500;1500;0;;;;;;;
1VKK05;Bedrijfsauto;FIAT;SCUDO;20230103;20151030;gesloten opbouw;2;N.v.t.;N.v.t.;4;1997;1760;2743;1860;750;;20101112;20101112;Geen verstrekking in Open Data;36342;Ja;0;4;0;0;0;190;N1;r. watergoot;2743;270;e2*2007/46*0056*00;ZXG1B;ZA;0;0.06;300;Nee;Nee;Nee;4743;0;;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2015-10-30T00:00:00.000;2010-11-12T00:00:00.000;2010-11-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;8717;983;2000;2000;0;;;;;;;
JF299G;Personenauto;FIAT;FIAT 500;20240301;20170812;hatchback;4;WIT;Niet geregistreerd;2;875;905;1370;1005;400;800;20160229;20160229;Geen verstrekking in Open Data;17915;Ja;2;4;0;0;357;0;M1;in kofferruimte;1370;312;e3*2007/46*0064*25;AXN1A;12C;0;0.06;230;Nee;Nee;Nee;2170;0;0;2022;Logisch;00;Ja;2024-03-01T00:00:00.000;2017-08-12T00:00:00.000;2016-02-29T00:00:00.000;2016-02-29T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1270;;;;;;;;;;;
51TRDB;Personenauto;FIAT;FIAT PANDA;20230103;20070103;hatchback;4;ZWART;Niet geregistreerd;4;1242;835;1305;935;400;800;20070103;20070103;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*05;AXB1A;01E;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2007-01-03T00:00:00.000;2007-01-03T00:00:00.000;2007-01-03T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1299;;;;;;;;;;;
KN907J;Personenauto;FIAT;FIAT 500;20221231;20191116;hatchback;4;GRIJS;Niet geregistreerd;2;875;945;1385;1045;400;800;20111215;20161216;Geen verstrekking in Open Data;20119;Ja;2;4;0;0;355;0;M1;r. kofferruimte;1385;312;e3*2007/46*0064*04;AXG1A;08D;0;0.06;230;Nee;Nee;Nee;2185;0;0;2021;Geen oordeel;05;Ja;2022-12-31T00:00:00.000;2019-11-16T00:00:00.000;2011-12-15T00:00:00.000;2016-12-16T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
V697GH;Bedrijfsauto;FIAT;FIAT DOBLO';20230530;20170530;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1360;2420;1460;500;;20170530;20170530;Geen verstrekking in Open Data;28315;Ja;;4;;;;183;N1;in bodemplaat r. v.;2420;263;e3*2007/46*0002*30;WXU1A;LR2DN;0;0.05;311;Nee;Nee;Nee;3420;;;2022;Logisch;00;Ja;2023-05-30T00:00:00.000;2017-05-30T00:00:00.000;2017-05-30T00:00:00.000;2017-05-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6934;1060;;1000;;;;;;;;
56PTBK;Personenauto;FIAT;FIAT PUNTO;20211204;20211222;hatchback;5;GROEN;Niet geregistreerd;4;1242;835;1370;935;400;1000;20041112;20041112;Geen verstrekking in Open Data;;Ja;2;4;0;0;0;0;M1;r. op bodemplaat v. r. voorzitting;1370;;e3*98/14*0048*08;AXA1A;00AB;0;0.05;246;Nee;Nee;Nee;2370;0;;2021;Logisch;00;Ja;2021-12-04T00:00:00.000;2021-12-22T00:00:00.000;2004-11-12T00:00:00.000;2004-11-12T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2400;;;;;;;;;;;
78HHS9;Personenauto;FIAT;FIAT PANDA;20221209;20220331;MPV;4;ZWART;Niet geregistreerd;4;1242;835;1305;935;400;800;20081128;20081128;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. bodemplaat;1305;169;e3*2001/116*0151*10;AXB1A;01M;1;0.05;230;Nee;Nee;Nee;2105;0;0;2021;Logisch;00;Ja;2022-12-09T00:00:00.000;2022-03-31T00:00:00.000;2008-11-28T00:00:00.000;2008-11-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1162;;;;;;;;;;;
37TZRT;Personenauto;FIAT;FIAT PANDA;20221229;20190501;hatchback;4;ZWART;Niet geregistreerd;4;1242;835;1305;935;400;800;20070801;20070801;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*05;AXB1A;01E;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Logisch;00;Ja;2022-12-29T00:00:00.000;2019-05-01T00:00:00.000;2007-08-01T00:00:00.000;2007-08-01T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1598;;;;;;;;;;;
9TXF26;Personenauto;FIAT;PANDA;20220611;20190711;MPV;4;GRIJS;Niet geregistreerd;2;875;955;1460;1055;400;800;20140530;20140530;Geen verstrekking in Open Data;13795;Ja;4;4;0;0;365;0;M1;r. kofferruimte;1460;312;e3*2007/46*0064*13;PXG11;P2C;1;0.06;230;Nee;Nee;Nee;2260;0;0;2021;Logisch;00;Ja;2022-06-11T00:00:00.000;2019-07-11T00:00:00.000;2014-05-30T00:00:00.000;2014-05-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;735;;;;;;;;;;;
TZB37K;Land- of bosbouwtrekker;FIAT;415;;20211222;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19750630;20211222;Geen verstrekking in Open Data;;Nee;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-12-22T00:00:00.000;1975-06-30T00:00:00.000;2021-12-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
65RSG9;Personenauto;FIAT;FIAT 500;20230216;20220217;hatchback;4;ORANJE;Niet geregistreerd;2;875;905;1370;1005;400;800;20110719;20110719;Geen verstrekking in Open Data;16795;Ja;2;4;0;0;355;0;M1;r. kofferruimte;1370;312;e3*2007/46*0064*00;AXG1A;08;0;0.06;230;Nee;Nee;Nee;2170;0;0;2022;Logisch;00;Ja;2023-02-16T00:00:00.000;2022-02-17T00:00:00.000;2011-07-19T00:00:00.000;2011-07-19T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
2TST90;Personenauto;FIAT;PANDA;20220615;20200616;MPV;4;GRIJS;Niet geregistreerd;2;964;930;1435;1030;400;800;20140430;20140430;Geen verstrekking in Open Data;11060;Ja;4;4;0;0;365;0;M1;r. kofferruimte;1435;312;e3*2007/46*0064*16;PXP1A;P9;0;0.04;230;Nee;Nee;Nee;2235;0;0;2021;Logisch;00;Ja;2022-06-15T00:00:00.000;2020-06-16T00:00:00.000;2014-04-30T00:00:00.000;2014-04-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
GV105L;Personenauto;FIAT;FIAT PUNTO;20221009;20211218;MPV;5;BLAUW;Niet geregistreerd;4;1368;1000;1585;1100;400;1000;20070601;20160924;Geen verstrekking in Open Data;;Ja;2;4;0;0;403;0;M1;r. op bodemplaat by voorzitting;1585;;e3*2001/116*0217*06;AXB1A;02D;0;0.05;251;Nee;Nee;Nee;2585;0;;2021;Geen oordeel;05;Ja;2022-10-09T00:00:00.000;2021-12-18T00:00:00.000;2007-06-01T00:00:00.000;2016-09-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1747;;;;;;;;;;;
49FXTD;Personenauto;FIAT;FIAT PUNTO;20221026;20211221;hatchback;5;ROOD;Niet geregistreerd;4;1242;950;1485;1050;400;1000;20000809;20000809;Geen verstrekking in Open Data;;Ja;4;4;0;0;384;0;M1;r. op bodemplaat v. r. voorzitting;1485;;e3*98/14*0048*00;BXB11;05B;0;0.06;246;Nee;Nee;Nee;2485;0;;2021;Logisch;00;Ja;2022-10-26T00:00:00.000;2021-12-21T00:00:00.000;2000-08-09T00:00:00.000;2000-08-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2833;;;;;;;;;;;
8TXF58;Personenauto;FIAT;FIAT 500;20221207;20211222;hatchback;4;ZWART;Niet geregistreerd;2;875;945;1385;1045;400;800;20140530;20140530;Geen verstrekking in Open Data;20240;Ja;2;4;0;0;0;0;M1;r. kofferruimte;1385;312;e3*2007/46*0064*16;AXN1A;12B;0;0.06;230;Nee;Nee;Nee;2185;0;0;2021;Logisch;00;Ja;2022-12-07T00:00:00.000;2021-12-22T00:00:00.000;2014-05-30T00:00:00.000;2014-05-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
03PKF3;Personenauto;FIAT;FIAT PUNTO;20230116;20120615;MPV;4;ZWART;Niet geregistreerd;4;1248;1105;1610;1205;400;1000;20110209;20110209;Geen verstrekking in Open Data;13924;Ja;2;4;0;0;403;0;M1;r. op bodemplaat by voorzitting;1610;199;e3*2001/116*0217*19;AXY1A;48C;0;0.05;251;Nee;Nee;Nee;2610;0;;2021;Logisch;00;Ja;2023-01-16T00:00:00.000;2012-06-15T00:00:00.000;2011-02-09T00:00:00.000;2011-02-09T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
13HVPB;Personenauto;FIAT;FIAT PUNTO;20220615;20200611;hatchback;5;GRIJS;Niet geregistreerd;4;1242;850;1385;950;400;1000;20020111;20020111;Geen verstrekking in Open Data;;Ja;4;4;0;0;384;0;M1;r. op bodemplaat v. r. voorzitting;1385;;e3*98/14*0048*02;BXA1A;01P;0;0.05;246;Nee;Nee;Nee;2385;0;;2021;Logisch;00;Ja;2022-06-15T00:00:00.000;2020-06-11T00:00:00.000;2002-01-11T00:00:00.000;2002-01-11T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2407;;;;;;;;;;;
79GHT5;Personenauto;FIAT;FIAT PANDA;20220917;20211222;hatchback;4;ZWART;Niet geregistreerd;4;1242;835;1305;935;400;800;20080627;20080627;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*05;AXB1A;01E;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Logisch;00;Ja;2022-09-17T00:00:00.000;2021-12-22T00:00:00.000;2008-06-27T00:00:00.000;2008-06-27T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1633;;;;;;;;;;;
2VPV02;Bedrijfsauto;FIAT;DUCATO 33 2.3 MJ DPF L H2;20230308;20190328;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;1946;3300;2046;750;;20110831;20110831;Geen verstrekking in Open Data;42481;Ja;0;4;0;0;0;209;N1;tegen r. voorwielscherm by voorzitting;3300;;;;;0;0.04;404;Nee;Nee;Nee;5800;;;2022;Logisch;00;Ja;2023-03-08T00:00:00.000;2019-03-28T00:00:00.000;2011-08-31T00:00:00.000;2011-08-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10423;1354;2500;2500;;;;;;;;
48ZLX4;Personenauto;FIAT;FIAT 500;20230102;20171222;hatchback;4;ZWART;Niet geregistreerd;2;875;905;1370;1005;400;800;20130102;20130102;Geen verstrekking in Open Data;16690;Ja;2;4;0;0;355;0;M1;r. kofferruimte;1370;312;e3*2007/46*0064*04;AXG1A;08C;0;0.06;230;Nee;Nee;Nee;2170;0;0;2021;Logisch;00;Ja;2023-01-02T00:00:00.000;2017-12-22T00:00:00.000;2013-01-02T00:00:00.000;2013-01-02T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
TFL42V;Land- of bosbouwtrekker;FIAT;540;;20210407;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19780630;20210407;Geen verstrekking in Open Data;;Ja;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-04-07T00:00:00.000;1978-06-30T00:00:00.000;2021-04-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
6SVZ08;Personenauto;FIAT;FIAT 500;20221222;20180419;hatchback;4;ROOD;Niet geregistreerd;2;875;945;1385;1045;400;800;20131211;20131217;Geen verstrekking in Open Data;19076;Ja;2;4;0;0;355;0;M1;r. kofferruimte;1385;312;e3*2007/46*0064*04;AXG1A;08D;0;0.06;230;Nee;Nee;Nee;2185;0;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2018-04-19T00:00:00.000;2013-12-11T00:00:00.000;2013-12-17T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;
54RXJV;Personenauto;FIAT;FIAT PANDA 4X4;20221230;20081210;hatchback;4;ZWART;Niet geregistreerd;4;1242;955;1425;1055;400;800;20050929;20050929;Geen verstrekking in Open Data;;Ja;4;4;0;0;357;0;M1;r. op bodemplaat in kofferruimte;1425;;e3*2001/116*0151*02;AXB2A;04C;0;0.04;231;Nee;Nee;Nee;2225;0;;2021;Logisch;00;Ja;2022-12-30T00:00:00.000;2008-12-10T00:00:00.000;2005-09-29T00:00:00.000;2005-09-29T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2794;;;;;;;;;;;
